spec,n_pairs,n_moves,coef_delta,se_delta,t_delta,p_delta,coef_lambda_pre,p_lambda_pre,r2
0. Baseline,1070174,2406,0.0017814896942582785,0.00020928486216288027,8.512272105336493,1.7077280543540742e-17,0.004696947947915703,4.606482632396471e-115,0.000486043578140527
0. Baseline (logit),1070174,2406,0.5819860393285939,,,3.6547473559128564e-18,,,
1. Winsorize 1%,1070174,2406,0.0023923948692235945,0.0002481380623727785,9.641386115240527,5.3571476087721635e-22,0.004830267082878417,1.2832885199708243e-119,0.0005051861335854113
1. Winsorize 5%,1070174,2406,0.002774052318034325,0.0002921678636901425,9.494720887497524,2.212309395357454e-21,0.004769719715227957,5.502837772300898e-119,0.000502565106339059
2. Only Δλ > 0,851524,1845,0.0010602861562450017,0.00023586400366858008,4.4953284085469996,6.947179306447476e-06,0.005330459493216172,2.9864677134057692e-95,0.0005075265805628559
2. Only Δλ > 0 (logit),851524,1845,0.3498601911493294,,,0.00021558753794843807,,,
3. Only Δλ < 0,218650,561,0.006816138278200686,0.001065221766520112,6.3987974076682494,1.5692044619747257e-10,0.005640366646354024,5.069926168546633e-29,0.0005756613118766962
4. Quartile Q1,267544,654,0.007056988864818583,0.0009770617553139544,7.222664101258365,5.111355422036101e-13,0.005899779258347457,1.996637927177335e-40,0.000675395112657684
4. Quartile Q4,267544,658,-0.00041580146282202846,0.00036496221080030834,-1.1393000439969858,0.25457905010205956,0.0027115722225745506,6.658371396776269e-09,0.00014002351409425629
5. Only λ_pre > 0,849158,2032,0.0018320804933782656,0.00029601707863573777,6.189104026773815,6.053463760132975e-10,0.0052398220576830015,6.683784808166313e-101,0.0005376642331262893
5. Only λ_pre > 0 (logit),849158,2032,0.6297832562050378,,,7.288583031385956e-11,,,
6. Exclude top 1% moves,1067768,0,0.0,0.0,,,0.0,,
7. Active firms only,995002,2406,0.0018889490695485449,0.0002293503762500535,8.236084459216597,1.781501987748839e-16,0.004833444848364,1.7785167100535092e-105,0.0004785175455361834
7. Active firms only (logit),995002,2406,0.5769425391995986,,,1.3545475311309211e-16,,,
8. Clustered SE (origin),1070174,2406,0.0017814896942582785,0.00045813214492582203,3.888593529158986,0.00010726012113763038,0.004696947947915703,1.3404564182329528e-28,0.000486043578140527
9. Moves Pre-2010,1070174,140,9.413293060647885e-05,5.054934320077916e-05,1.8621988861969607,0.06257533524215184,0.00023200638493061477,3.1126564155570947e-06,2.0319776813382262e-05
9. Moves Post-2009,1070174,2278,0.0017072909050869114,0.00020365587252623688,8.383214703847845,5.15625456340855e-17,0.004482423796483518,9.659783680727671e-111,0.0004674305011230784
10. Exclude Δλ > 3σ,1056714,2378,0.0026362755155251985,0.0002658991108514694,9.914570632008678,3.6064020846414163e-23,0.005202468351092412,5.4858539109335024e-130,0.0005567236684910215
