from_gvkey,to_gvkey,from_date,to_date,person_bvd,name,gvkey_j,gvkey_k,lambda_pre,lambda_post,lambda_delta,lambda_pre_rev,lambda_post_rev,lambda_delta_rev,lambda_jk_pre,lambda_jk_post,delta_lambda
100000,200000,2003-01-28,2008,P002519657,ANON_0000,8007.0,2991.0,0.5842247,0.63269466,0.04846996,0.745047,0.9504949,0.20544791,0.5842247,0.63269466,0.04846996
100001,200001,2008,2016-05-26,P002519657,ANON_0001,2991.0,7154.0,0.83113,1.0057108,0.17458081,0.7307335,0.83689207,0.106158555,0.83113,1.0057108,0.17458081
100002,200002,2016-05-26,2022-05-27,P002519657,ANON_0002,7154.0,29868.0,0.560987,1.1194103,0.5584233,0.18907146,0.31088135,0.121809885,0.560987,1.1194103,0.5584233
100003,200003,2018-09,2020-12-10,P002993229,ANON_0003,121077.0,179621.0,0.25717545,0.45284566,0.19567022,0.6037997,0.62732655,0.023526847,0.25717545,0.45284566,0.19567022
100004,200004,2020-12-10,2023,P002993229,ANON_0004,179621.0,121077.0,0.6037997,0.62732655,0.023526847,0.25717545,0.45284566,0.19567022,0.6037997,0.62732655,0.023526847
100005,200005,1996,2019,P003236669,ANON_0005,4598.0,7154.0,0.5230679,0.41061482,-0.11245307,0.827745,0.6275806,-0.20016444,0.5230679,0.41061482,-0.11245307
100006,200006,2011-08-15,2018,P003238124,ANON_0006,11465.0,24856.0,0.27425012,0.27753443,0.0032843053,0.7545191,0.71338993,-0.04112917,0.27425012,0.27753443,0.0032843053
100007,200007,2018-01-11,2024,P003340565,ANON_0007,3246.0,25340.0,0.5968728,0.63067955,0.03380674,0.324734,0.48142388,0.15668988,0.5968728,0.63067955,0.03380674
100008,200008,2024,2026,P003340565,ANON_0008,25340.0,4640.0,0.28357786,0.2768795,-0.00669837,0.48511568,0.87820995,0.39309427,0.28357786,0.2768795,-0.00669837
100009,200009,2017,2024,P003565716,ANON_0009,30032.0,10789.0,0.15718687,0.26698956,0.10980269,0.14292923,0.18992844,0.046999216,0.15718687,0.26698956,0.10980269
100010,200010,2013,2013,P003968078,ANON_0010,7435.0,3362.0,0.8864223,0.82631314,-0.06010914,0.4086115,0.79164404,0.38303253,0.8864223,0.82631314,-0.06010914
100011,200011,2015-03-04,2018,P004216721,ANON_0011,147988.0,1722.0,0.10389514,0.47574982,0.37185466,0.19505824,0.35146022,0.15640198,0.10389514,0.47574982,0.37185466
100012,200012,2018-01,2019-04,P005061047,ANON_0012,30298.0,4498.0,0.1945637,0.3056752,0.11111151,0.19994675,0.4884057,0.28845894,0.1945637,0.3056752,0.11111151
